State,Bill Number,Summary,NCDP Categories,Subcategory,Hazard Type
Colorado,H 1111,"Concerns insurance coverage for insured losses incurred as a result of a declared fire disaster, make an appropriation.",Funding,Assistance for Individuals and Households,Disaster Mitigation-Wildfire
Colorado,H 1151,"Creates the turf replacement fund in the state treasury to be administered by the board for implementation, appropriates funds to the Department of Natural Resources for use by the Colorado Conservation Board.",Funding,Assistance for Individuals and Households,"Water-Conservation/Efficiency, Water, Disaster Mitigation, Wildlife-Pollinators"
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Funding,Assistance for Individuals and Households,Disaster Mitigation
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Funding,Assistance for Individuals and Households,Disaster Mitigation
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Funding,Assistance for Individuals and Households,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Funding,Assistance for Individuals and Households,Disaster Mitigation-Flooding
Rhode Island,H 5760,"Creates a forest conservation commission, to be coordinated with the department of environmental management, to seek new funding and identify incentives for landowners to maintain their land as forest.",Funding,Assistance for Individuals and Households,"Land-Forests, Disaster Mitigation"
Rhode Island,S 470,"Creates a forest conservation commission, to be coordinated with the Department of Environmental Management, to seek new funding and identify incentives for landowners to maintain their land as forest.",Funding,Assistance for Individuals and Households,"Climate Change - Adaptation and Environment, Climate Change - Carbon Capture and Sequestration, Climate Change - Emissions Reduction"
Washington,H 1168,Concerns long-term forest health and the reduction of wildfire dangers.,Funding,Assistance for Individuals and Households,Disaster Mitigation-Wildfire
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Funding,Assistance for Individuals and Households,Disaster Mitigation
Maryland,H 1312,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances, relates to the Resilient Maryland Revolving Loan Fund.",Funding,Assistance to Individuals and Households,Disaster Mitigation
Maryland,S 814,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be reserved used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances.",Funding,Assistance to Individuals and Households,Disaster Mitigation
Maine,S 717,"Establishes the Farmers Drought Relief Grant Program to assist farmers in the state to overcome the adverse effects of drought conditions by providing grants, appropriates funds.",Funding,Assistance to Individuals and Households,"Disaster Mitigation, Drought"
Minnesota,H 3420,"Appropriates money for drought relief, establishes cooperative grants for farmers, establishes farm down payment assistance grants, establishes a soil health financial assistance pilot program, makes policy and technical changes to agricultural provisions, modifies previous appropriations, establishes the broadband line extension program, establishes the lower population density pilot program.",Funding,Assistance to Individuals and Households,"Disaster Mitigation, Drought"
Washington,H 2051,Provides short term disaster recovery financial assistance to agricultural producers.,Funding,Assistance to Individuals and Households,Disaster Mitigation
Arizona,S 1146,"Relates to financial assistance for fire suppression, relates to private landowners.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Funding,Assistance to Local Governments,Disaster Mitigation-Wildfire
California,A 692,"Make those funds that were appropriated to the Department of Water Resources by the Disaster Preparedness and Flood Prevention Bond Act of 2006 and allocated to the City of Escondido for use on the Lake Wohlford Dam project available for liquidation until a certain date, if the City of Escondido uses a skilled and trained workforce for the Lake Wohlford Dam project.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
California,A 781,"Authorizes the state to provide subvention funds to the County of Orange for a specified flood control project at an estimated cost to the state of the sum that may be appropriated for state cooperation by the Legislature and upon a determination by the Department of Water Resources that the project meets specified requirements. Provides that the state assumes no liability for damages that may result from the project by authorizing the provision of subvention funds, or by the appropriation of those funds.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Funding,Assistance to Local Governments,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 1,"Includes, as part of the procedures the commission is required to adopt, recommendations and guidelines for the identification, assessment, minimization, and mitigation of sea level rise within each local coastal program, as provided. Deletes the timeframe specified above by which the commission is required to adopt these procedures. Requires the commission to take into account the effects of sea level rise in coastal resource planning and management policies and activities, as provided.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
California,S 129,Relates to the Budget Act of 2021.,Funding,Assistance to Local Governments,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Funding,Assistance to Local Governments,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Funding,Assistance to Local Governments,"Disaster Mitigation, Wildlife-Pollinators"
California,S 369,"Establishes the Yolo Bypass Cache Slough Partnership Multibenefit Program to support the development and implementation of projects within the Yolo Bypass and Cache Slough region. Defines Yolo Bypass Cache Slough Partnership to mean the multiagency partnership established pursuant to a memorandum of understanding signed in May 2016 by a total of 15 participating federal, state, and local agencies.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
California,S 496,"Authorizes the State to provide certain funds to the Counties of Monterey and Santa Cruz, or to local agencies in those counties, for the project for flood control on the Pajaro River in such counties. Authorizes, upon certain conditions, the state to provide up to a certain percentage of the costs for these purposes. Makes legislative findings and declarations as to the necessity of a special statute for the Counties of Monterey and Santa Cruz.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
Colorado,H 1007,"Establishes the Wildfire Mitigation Resources and Best Practices Grant Program within the Colorado State Forest Service, provides that grants must be awarded to applicants proposing to conduct outreach among landowners in high wildfire hazard areas and the forest service must consider the potential impact of the applicants proposed outreach when awarding grants.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1011,Concerns the establishment of a state grant program that provides funding to local governments that dedicate resources for wildfire mitigation purposes.,Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1013,"Creates the Microgrids for Community Resilience Grant Program to be administered by the Division of Local Government in the Department of Local Affairs, in collaboration with the Colorado Resiliency Office in the division, appropriates funds.",Funding,Assistance to Local Governments,Disaster Mitigation
Colorado,H 1151,"Creates the turf replacement fund in the state treasury to be administered by the board for implementation, appropriates funds to the Department of Natural Resources for use by the Colorado Conservation Board.",Funding,Assistance to Local Governments,"Water-Conservation/Efficiency, Water, Disaster Mitigation, Wildlife-Pollinators"
Colorado,H 1379,"Concerns transfers from the economic recovery and relief cash fund to provide additional funding for the management of certain natural resources, makes an appropriation.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,S 193,"Creates the Industrial and Manufacturing Operations Clean Air Grant Program through which the Colorado Energy Office awards grant money to private entities, local governments, and public private partnerships for voluntary projects to reduce air pollutants from industrial and manufacturing operations, appropriates funds.",Funding,Assistance to Local Governments,"Climate Change - Adaptation and Environment, Climate Change - Emissions Reduction, Financing Energy Efficiency and Renewable Energy, Transportation - Alt Fuel/Hybrid"
Florida,H 7053,"Relates to statewide flooding and sea level rise resilience, establishes the Statewide Office of Resilience within the Executive Office of the Governor, provides for the appointment of a Chief Resilience Officer, specifies the duties of the Chief Resilience Officer, authorizes and requires certain entities to assist the Chief Resilience Officer, requires the Department of Environmental Protection to submit a report on flood resilience and mitigation efforts.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
Florida,H 837,"Relates to the Hurricane Loss Mitigation Program, revises the use of certain funds from the Florida Hurricane Catastrophe Fund to include construction of certain facilities, revises the title of a certain annual report, revises provisions to require the Manufactured Housing and Mobile Home Mitigation and Enhancement Program to be operated by Gulf Coast State College, deletes construction related to Citizens Property Insurance Corporation coverage rates, provides for funding.",Funding,Assistance to Local Governments,Disaster Mitigation
Hawaii,H 1586,"Clarifies that federal funds received by the state for reimbursement of disaster related expenses, except for federal funds received by the state to reimburse the Department of Education for disaster related expenses, shall first be applied to the originating fund used by the department or agency for payment of disaster relief expenses, provides that if the original appropriation has lapsed, the funds shall be returned to the general fund.",Funding,Assistance to Local Governments,Disaster Mitigation
Hawaii,H 1588,"Establishes in the state treasury the Resilient Hawaii Revolving Loan Fund to provide low or no interest loans to the counties and nonprofit organizations for local resilience projects that address mitigation of all hazards, including natural disasters, provides that moneys in the fund may be used for administrative support associated with the revolving loan fund, including the hiring of necessary staff, appropriates funds.",Funding,Assistance to Local Governments,Disaster Mitigation
Idaho,S 1190,"Relates to the appropriating monies to the Department of Water Resources for fiscal year 2022, limits the number of authorized full-time equivalent positions, transfers monies from the revolving development fund to the Aquifer Planning and Management Fund, transfers monies from the general fund to the Secondary Aquifer Planning, Management, and Implementation Fund, provides requirements for water quality monitoring, provides requirements for Ririe Reservoir Flood Control Rules.",Funding,Assistance to Local Governments,"Water-Resources/Planning, Water, Disaster Mitigation-Flooding"
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Funding,Assistance to Local Governments,Disaster Mitigation
Maryland,S 528,"Requires the State to reduce statewide greenhouse gas emissions through the use of various measures, includes the alteration of statewide greenhouse gas emissions goals, relates to establishment of a net zero statewide greenhouse gas emissions goal, relates to the development of certain energy efficiency and emissions reduction requirements for certain buildings, requires electric companies to increase their annual incremental gross energy savings through certain programs and services.",Funding,Assistance to Local Governments,Disaster Mitigation
Minnesota,S 20,"Relates to state government, appropriates money for environment, natural resources, and tourism, appropriates money from environment and natural resources trust fund, modifies fees and programs, modifies disposition and expenditure of certain funds, creates accounts, authorizes sales and conveyances of certain state land, adds to and deleting from state parks and recreation areas, modifies state land and school trust land provisions, provides cost-share incentives to increase tree planting.",Funding,Assistance to Local Governments,"Disaster Mitigation-Flooding, Wildlife-Pollinators"
Mississippi,S 3018,"Makes an appropriation to defray the expenses of the State Emergency Management Agency, and for the purpose of establishing a Disaster Relief Reserve Fund and defraying the costs related to certain disaster assistance programs for fiscal year 2023.",Funding,Assistance to Local Governments,Disaster Mitigation
New Hampshire,S 409,Modifies the circumstances under which the governor may approve exceptional disaster relief loans.,Funding,Assistance to Local Governments,Disaster Mitigation
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,A 5053,"Amends list of environmental infrastructure projects approved for long-term funding for FY2021 to include new projects and modify estimated loan amounts for certain projects, modifies terms and conditions for certain loans utilizing federal funds.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,A 5054,"Authorizes NJ Infrastructure Bank to expend additional sums to make loans for environmental infrastructure projects for FY2021, modifies terms and conditions for certain loan utilizing federal funds.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,A 5588,"Appropriates moneys to the Department of Environmental Protection for the purpose of making zero interest loans or principal forgiveness loans to project sponsors to finance a portion of the costs of environmental infrastructure projects, authorizes to transfer from the Clean Water State Revolving Fund to the Drinking Water State Revolving Fund, additional amounts as may be necessary to address a threat to public health.",Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,A 5589,"Authorizes the expenditure of funds by the New Jersey Infrastructure Bank for the purpose of making loans to eligible project sponsors to finance a portion of the cost of construction of environmental infrastructure projects, and making an appropriation.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Funding,Assistance to Local Governments,Disaster Mitigation
New Jersey,S 2498,Authorizes the State Infrastructure Bank to expend certain sums to make loans for environmental infrastructure projects for the upcoming fiscal year.,Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,S 2499,Appropriates funds to the Department of Environmental Protection for environmental infrastructure projects for the upcoming fiscal year.,Funding,Assistance to Local Governments,Disaster Mitigation-Flooding
New Jersey,S 4078,"Makes changes to the authorization given to the New Jersey Infrastructure Bank to make loans for environmental infrastructure projects for Fiscal Year 2022, amends the lists of environmental infrastructure projects for which the NJIB is authorized to make loans to include new projects, remove projects, modify the priority of certain projects, and modify the trust loan amounts for certain projects.",Funding,Assistance to Local Governments,Disaster Mitigation
New Mexico,S 17,"Relates to finance, authorizes the New Mexico Finance Authority to make loans or grants from the Water Project Fund for certain water projects, declares emergency.",Funding,Assistance to Local Governments,"Water, Disaster Mitigation-Flooding"
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,H 4156,"Relates to state financial administration, transfers Oregon Pre-Disaster Mitigation Fund to Oregon Department of Emergency Management.",Funding,Assistance to Local Governments,Disaster Mitigation
Oregon,S 1533,"Relates to wildfire, makes federally recognized Indian tribes in the State eligible for certain grants and services relating to clean air shelters and smoke filtration systems, amends provisions relating to minimum defensible space requirements for wildfire risk reduction.",Funding,Assistance to Local Governments,Disaster Mitigation-Wildfire
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Funding,Assistance to Local Governments,"Disaster Mitigation, Heat"
Rhode Island,H 5967,"Creates the Ocean State Climate Adaptation and Resilience Fund as a long term source of grant funds to enable cities and towns to implement projects that restore and improve the climate resilience of vulnerable coastal habitats, rivers and stream floodplains with priority to projects that improve community resilience and public safety, provides for technical advisory committee, provides for eligible projects, provides for disbursement, provides for a adaptation fee for each barrel of petroleum product.",Funding,Assistance to Local Governments,Disaster Mitigation
Virginia,H 1309,Concerns resilient Virginia Revolving Loan Fund.,Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Flooding"
Virginia,S 756,"Relates to Resilient Virginia Revolving Fund, provides definitions, relates to deposit of moneys, relates to expenditures, relates to investments, relates to annual audit, relates to collection of money due to Fund, relates to loans to local governments, relates to grants to local governments.",Funding,Assistance to Local Governments,Disaster Mitigation
Washington,H 1168,Concerns long-term forest health and the reduction of wildfire dangers.,Funding,Assistance to Local Governments,Disaster Mitigation-Wildfire
Washington,S 5126,Concerns the Washington Climate Commitment Act.,Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Washington,S 5933,"Relates to establishing a School Seismic Safety Grant Program, relates to public school districts and state tribal education compact schools.",Funding,Assistance to Local Governments,"Disaster Mitigation, Disaster Mitigation-Seismic"
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Funding,Assistance to Local Governments,Disaster Mitigation
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation-Wildfire
California,A 1297,"Authorizes economic development facilities and public development facilities to include housing if the housing meets certain financing requirements and limits, as specified. Prohibits the proceeds of private activity bonds issued by the bank under any state allocation from being used to finance any housing. Prohibits funds from the Infrastructure State Revolving Loan Program from being used to finance any housing component of a public development facility.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Funding,Assistance to Private Sector and Nonprofits,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 1,"Includes, as part of the procedures the commission is required to adopt, recommendations and guidelines for the identification, assessment, minimization, and mitigation of sea level rise within each local coastal program, as provided. Deletes the timeframe specified above by which the commission is required to adopt these procedures. Requires the commission to take into account the effects of sea level rise in coastal resource planning and management policies and activities, as provided.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
California,S 129,Relates to the Budget Act of 2021.,Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Wildlife-Pollinators"
Colorado,H 1007,"Establishes the Wildfire Mitigation Resources and Best Practices Grant Program within the Colorado State Forest Service, provides that grants must be awarded to applicants proposing to conduct outreach among landowners in high wildfire hazard areas and the forest service must consider the potential impact of the applicants proposed outreach when awarding grants.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1013,"Creates the Microgrids for Community Resilience Grant Program to be administered by the Division of Local Government in the Department of Local Affairs, in collaboration with the Colorado Resiliency Office in the division, appropriates funds.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation
Colorado,H 1151,"Creates the turf replacement fund in the state treasury to be administered by the board for implementation, appropriates funds to the Department of Natural Resources for use by the Colorado Conservation Board.",Funding,Assistance to Private Sector and Nonprofits,"Water-Conservation/Efficiency, Water, Disaster Mitigation, Wildlife-Pollinators"
Colorado,S 193,"Creates the Industrial and Manufacturing Operations Clean Air Grant Program through which the Colorado Energy Office awards grant money to private entities, local governments, and public private partnerships for voluntary projects to reduce air pollutants from industrial and manufacturing operations, appropriates funds.",Funding,Assistance to Private Sector and Nonprofits,"Climate Change - Adaptation and Environment, Climate Change - Emissions Reduction, Financing Energy Efficiency and Renewable Energy, Transportation - Alt Fuel/Hybrid"
Hawaii,H 1588,"Establishes in the state treasury the Resilient Hawaii Revolving Loan Fund to provide low or no interest loans to the counties and nonprofit organizations for local resilience projects that address mitigation of all hazards, including natural disasters, provides that moneys in the fund may be used for administrative support associated with the revolving loan fund, including the hiring of necessary staff, appropriates funds.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation
Maine,S 717,"Establishes the Farmers Drought Relief Grant Program to assist farmers in the state to overcome the adverse effects of drought conditions by providing grants, appropriates funds.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Drought"
Minnesota,H 3420,"Appropriates money for drought relief, establishes cooperative grants for farmers, establishes farm down payment assistance grants, establishes a soil health financial assistance pilot program, makes policy and technical changes to agricultural provisions, modifies previous appropriations, establishes the broadband line extension program, establishes the lower population density pilot program.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Drought"
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation-Flooding
Washington,H 1168,Concerns long-term forest health and the reduction of wildfire dangers.,Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation-Wildfire
Washington,S 5126,Concerns the Washington Climate Commitment Act.,Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Washington,S 5933,"Relates to establishing a School Seismic Safety Grant Program, relates to public school districts and state tribal education compact schools.",Funding,Assistance to Private Sector and Nonprofits,"Disaster Mitigation, Disaster Mitigation-Seismic"
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Funding,Assistance to Private Sector and Nonprofits,Disaster Mitigation
Arizona,S 1146,"Relates to financial assistance for fire suppression, relates to private landowners.",Funding,Cost-share,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Funding,Cost-share,Disaster Mitigation-Wildfire
California,S 129,Relates to the Budget Act of 2021.,Funding,Cost-share,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Funding,Cost-share,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Funding,Cost-share,"Disaster Mitigation, Wildlife-Pollinators"
California,S 496,"Authorizes the State to provide certain funds to the Counties of Monterey and Santa Cruz, or to local agencies in those counties, for the project for flood control on the Pajaro River in such counties. Authorizes, upon certain conditions, the state to provide up to a certain percentage of the costs for these purposes. Makes legislative findings and declarations as to the necessity of a special statute for the Counties of Monterey and Santa Cruz.",Funding,Cost-share,Disaster Mitigation-Flooding
Colorado,H 1151,"Creates the turf replacement fund in the state treasury to be administered by the board for implementation, appropriates funds to the Department of Natural Resources for use by the Colorado Conservation Board.",Funding,Cost-share,"Water-Conservation/Efficiency, Water, Disaster Mitigation, Wildlife-Pollinators"
Hawaii,H 1586,"Clarifies that federal funds received by the state for reimbursement of disaster related expenses, except for federal funds received by the state to reimburse the Department of Education for disaster related expenses, shall first be applied to the originating fund used by the department or agency for payment of disaster relief expenses, provides that if the original appropriation has lapsed, the funds shall be returned to the general fund.",Funding,Cost-share,Disaster Mitigation
Idaho,S 1190,"Relates to the appropriating monies to the Department of Water Resources for fiscal year 2022, limits the number of authorized full-time equivalent positions, transfers monies from the revolving development fund to the Aquifer Planning and Management Fund, transfers monies from the general fund to the Secondary Aquifer Planning, Management, and Implementation Fund, provides requirements for water quality monitoring, provides requirements for Ririe Reservoir Flood Control Rules.",Funding,Cost-share,"Water-Resources/Planning, Water, Disaster Mitigation-Flooding"
Maryland,H 1312,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances, relates to the Resilient Maryland Revolving Loan Fund.",Funding,Cost-share,Disaster Mitigation
Maryland,S 528,"Requires the State to reduce statewide greenhouse gas emissions through the use of various measures, includes the alteration of statewide greenhouse gas emissions goals, relates to establishment of a net zero statewide greenhouse gas emissions goal, relates to the development of certain energy efficiency and emissions reduction requirements for certain buildings, requires electric companies to increase their annual incremental gross energy savings through certain programs and services.",Funding,Cost-share,Disaster Mitigation
Maryland,S 814,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be reserved used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances.",Funding,Cost-share,Disaster Mitigation
Minnesota,S 20,"Relates to state government, appropriates money for environment, natural resources, and tourism, appropriates money from environment and natural resources trust fund, modifies fees and programs, modifies disposition and expenditure of certain funds, creates accounts, authorizes sales and conveyances of certain state land, adds to and deleting from state parks and recreation areas, modifies state land and school trust land provisions, provides cost-share incentives to increase tree planting.",Funding,Cost-share,"Disaster Mitigation-Flooding, Wildlife-Pollinators"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Funding,Cost-share,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Funding,Cost-share,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Funding,Cost-share,Disaster Mitigation
Oklahoma,H 3819,"Relates to rural hazard mitigation funding, enacts the Oklahoma Disaster Mitigation and Recovery Matching Fund Act, makes appropriation to the Oklahoma Disaster Mitigation and Recovery Matching Fund, imposes restrictions related to matching for federal funds, provides for administration for fund, creates accounts, provides for subaccounts, authorizes use of funds for certain unincorporated areas, authorizes use of funds for benefit of certain municipalities, prohibits certain funds transfers.",Funding,Cost-share,Disaster Mitigation
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Funding,Cost-share,"Disaster Mitigation, Heat"
Utah,H 145,"Addresses the states management of wildfires, addresses funding of county fire wardens, provides for rulemaking authority, defines terms, requires the Division of Forestry, Fire, and State Lands to study the implementation of a wildfire prevention and preparedness program, addresses reporting requirements and potential legislation, provides a repeal date for study.",Funding,Cost-share,Disaster Mitigation-Wildfire
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Funding,Cost-share,Disaster Mitigation
Alaska,H 69,"Funding - State Program Funding, Funding - Federally-related Spending, Equity - Reimbursements Received, Funding - Insurance, Funding - Assistance to Private Sector and Nonprofits, Funding - Assistance to Governments, Funding - Assistance to Individuals and Households, F/W/N - Food, F/W/N - Nutrition, Energy, F/W/N - Water, Safety and Security, Land Use, Transportation, Equity - Rural, Equity - Minority, Equity - Disabilities, Hazardous Materials, Land Use",Funding,Federally-related Spending,Disaster Mitigation
Arizona,S 1146,"Relates to financial assistance for fire suppression, relates to private landowners.",Funding,Federally-related Spending,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Funding,Federally-related Spending,Disaster Mitigation-Wildfire
California,S 1,"Includes, as part of the procedures the commission is required to adopt, recommendations and guidelines for the identification, assessment, minimization, and mitigation of sea level rise within each local coastal program, as provided. Deletes the timeframe specified above by which the commission is required to adopt these procedures. Requires the commission to take into account the effects of sea level rise in coastal resource planning and management policies and activities, as provided.",Funding,Federally-related Spending,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
